message,label
"Your account is locked. Click here to reset it.","phishing"
"Congratulations! You've won a $1000 gift card.","phishing"
"This is a reminder for your appointment tomorrow.","not phishing"
"Your password needs to be updated immediately.","phishing"
"Don't forget the team meeting at 3 PM today.","not phishing"
"Your account has been compromised. Verify your identity now.","phishing"
"You've received a payment of $500. Click here to claim it.","phishing"
"Urgent: Your subscription will expire soon. Update your payment details.","phishing"
"Congratulations! You've been selected for a free trial. Sign up now!","phishing"
"Alert: Unusual login attempt detected. Secure your account immediately.","phishing"
"The project deadline has been extended to next week.","not phishing"
"Please review the attached document for our upcoming project.","not phishing"
"Your feedback is important to us. Please take a moment to respond.","not phishing"
"The team lunch is scheduled for Friday at noon.","not phishing"
"Don't forget to submit your timesheet by the end of the week.","not phishing"
